experiment,architecture,runs,parameters,parameters_std,best_epoch,best_epoch_std,samples,samples_std,dates,dates_std,mse,mse_std,mae,mae_std,direction_accuracy,direction_accuracy_std,ic_mean,ic_mean_std,rank_ic_mean,rank_ic_mean_std,rank_ic_std,rank_ic_std_std,rank_icir_annualized,rank_icir_annualized_std,loss,loss_std,strategy_with_cost_mean,strategy_with_cost_mean_std,strategy_with_cost_std,strategy_with_cost_std_std,strategy_with_cost_annualized_return,strategy_with_cost_annualized_return_std,strategy_with_cost_information_ratio,strategy_with_cost_information_ratio_std,strategy_with_cost_max_drawdown,strategy_with_cost_max_drawdown_std,benchmark_mean,benchmark_mean_std,benchmark_std,benchmark_std_std,benchmark_annualized_return,benchmark_annualized_return_std,benchmark_information_ratio,benchmark_information_ratio_std,benchmark_max_drawdown,benchmark_max_drawdown_std,excess_without_cost_mean,excess_without_cost_mean_std,excess_without_cost_std,excess_without_cost_std_std,excess_without_cost_annualized_return,excess_without_cost_annualized_return_std,excess_without_cost_information_ratio,excess_without_cost_information_ratio_std,excess_without_cost_max_drawdown,excess_without_cost_max_drawdown_std,excess_with_cost_mean,excess_with_cost_mean_std,excess_with_cost_std,excess_with_cost_std_std,excess_with_cost_annualized_return,excess_with_cost_annualized_return_std,excess_with_cost_information_ratio,excess_with_cost_information_ratio_std,excess_with_cost_max_drawdown,excess_with_cost_max_drawdown_std,trade_ffr,trade_ffr_std,trade_pa,trade_pa_std,trade_pos,trade_pos_std
kda-mla-fast,kda_mla,1,7123993.0,0.0,2.0,0.0,66176.0,0.0,247.0,0.0,0.003644329961389303,0.0,0.041903335601091385,0.0,0.4823198742746615,0.0,0.013403882544611953,0.0,0.015517039757526174,0.0,0.12550184509447707,0.0,1.9627230938992586,0.0,0.003644330073976655,0.0,0.0002988206537224425,0.0,0.016331527138859568,0.0,0.07369792162390398,0.0,0.2822749200814039,0.0,-0.20444961775492154,0.0,0.0006710790033497283,0.0,0.01393463451284227,0.0,0.1731157406854289,0.0,0.742961906834381,0.0,-0.16079470913145077,0.0,-0.00015369105816243067,0.0,0.006069091001310972,0.0,-0.035920272602942505,0.0,-0.39067302904401374,0.0,-0.11495459511483441,0.0,-0.000354906880502881,0.0,0.006068482808611491,0.0,-0.0810125659424129,0.0,-0.9022414424391411,0.0,-0.1296892355461311,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kda-only,kda_mla,1,23215945.0,0.0,5.0,0.0,66176.0,0.0,247.0,0.0,0.0036268425174057484,0.0,0.04188617318868637,0.0,0.49850398936170215,0.0,0.030496186122722892,0.0,0.024390002542530032,0.0,0.1071941278943063,0.0,3.6119449341886063,0.0,0.0036268425347442007,0.0,0.0011962897409634188,0.0,0.01642835039263867,0.0,0.3291595059558494,0.0,1.1233908953095812,0.0,-0.1557188401159374,0.0,0.0006710790033497283,0.0,0.01393463451284227,0.0,0.1731157406854289,0.0,0.742961906834381,0.0,-0.16079470913145077,0.0,0.000764759571282525,0.0,0.005466357085656156,0.0,0.19954607622781162,0.0,2.1583178442683204,0.0,-0.052324195937261675,0.0,0.0005479349375301368,0.0,0.005469720958497514,0.0,0.13925301824765723,0.0,1.5454405395262256,0.0,-0.05792504318758107,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mla-only,kda_mla,1,19073281.0,0.0,5.0,0.0,66176.0,0.0,247.0,0.0,0.003580044722184539,0.0,0.04183141887187958,0.0,0.4896488152804642,0.0,0.0032472765570235778,0.0,0.009734872216190993,0.0,0.12493717689528738,0.0,1.2369120978595647,0.0,0.0035800452201583963,0.0,0.0008564583153176653,0.0,0.016174577972523235,0.0,0.22599142092157565,0.0,0.8168865602540702,0.0,-0.17714756315191482,0.0,0.0006710790033497283,0.0,0.01393463451284227,0.0,0.1731157406854289,0.0,0.742961906834381,0.0,-0.16079470913145077,0.0,0.00040477423411666713,0.0,0.005989878705984984,0.0,0.1011078130177534,0.0,1.0425173949962712,0.0,-0.06113515275293768,0.0,0.00020095979808121278,0.0,0.0059846585259826475,0.0,0.04898562604683687,0.0,0.5180340288878296,0.0,-0.07017156813968006,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lstm,lstm,1,834305.0,0.0,1.0,0.0,66176.0,0.0,247.0,0.0,0.003523927880451083,0.0,0.040624137967824936,0.0,0.4883341392649903,0.0,0.009531715233812696,0.0,-0.0007944092292850877,0.0,0.1555677579571292,0.0,-0.08106342679883735,0.0,0.0035239279130451218,0.0,0.0008606920295231024,0.0,0.014668428870478672,0.0,0.22722632107614293,0.0,0.905216914668657,0.0,-0.13267226711498492,0.0,0.0006710790033497283,0.0,0.01393463451284227,0.0,0.1731157406854289,0.0,0.742961906834381,0.0,-0.16079470913145077,0.0,0.0004007406591237661,0.0,0.005680475917999826,0.0,0.10005169196923513,0.0,1.0883464466545787,0.0,-0.07498460447624589,0.0,0.0001840808892243917,0.0,0.00567957347551845,0.0,0.04478092231748154,0.0,0.500013188771331,0.0,-0.09084271684677936,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gru,gru,1,634113.0,0.0,1.0,0.0,66176.0,0.0,247.0,0.0,0.003520787227898836,0.0,0.040525782853364944,0.0,0.49596530464216637,0.0,0.01231824123974433,0.0,-0.000532600124060242,0.0,0.12586129808800156,0.0,-0.06717525551914909,0.0,0.0035207874146249594,0.0,0.0007744390057033979,0.0,0.01581013941661071,0.0,0.2023105324929424,0.0,0.7556836007327579,0.0,-0.15424503148285829,0.0,0.0006710790033497283,0.0,0.01393463451284227,0.0,0.1731157406854289,0.0,0.742961906834381,0.0,-0.16079470913145077,0.0,0.0003274912940010033,0.0,0.006390971627215098,0.0,0.08104716428679115,0.0,0.7905354472396393,0.0,-0.07441219278717703,0.0,0.0001109535254910643,0.0,0.006386267044476081,0.0,0.026757187633702273,0.0,0.26802944680442264,0.0,-0.07937729182333741,0.0,1.0,0.0,0.0,0.0,0.0,0.0
transformer,transformer,1,3162625.0,0.0,1.0,0.0,66176.0,0.0,247.0,0.0,0.003551308996975422,0.0,0.041458919644355774,0.0,0.48426922147001933,0.0,0.021104454346681328,0.0,0.006673430805373939,0.0,0.13283671341277456,0.0,0.7975011357478664,0.0,0.003551308834061524,0.0,0.0007542929374055873,0.0,0.015483503060553513,0.0,0.19656391727903855,0.0,0.7515524511840384,0.0,-0.17238260529610971,0.0,0.0006710790033497283,0.0,0.01393463451284227,0.0,0.1731157406854289,0.0,0.742961906834381,0.0,-0.16079470913145077,0.0,0.00027013775946160834,0.0,0.006217712199608537,0.0,0.06639532329004605,0.0,0.6702597745313226,0.0,-0.0707120733835388,0.0,8.650305129864755e-05,0.0,0.006228720421195682,0.0,0.02080020640730318,0.0,0.21425011697081714,0.0,-0.07651019794823655,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mlp,mlp,1,139777.0,0.0,20.0,0.0,66176.0,0.0,247.0,0.0,0.0034828323405236006,0.0,0.040635693818330765,0.0,0.48296965667311414,0.0,0.021004744961208063,0.0,-0.0022281264098410886,0.0,0.11271523886927057,0.0,-0.31380326719931384,0.0,0.0034828322682988145,0.0,0.0005275384670413441,0.0,0.015775799340839638,0.0,0.1337390333208508,0.0,0.5158830251395049,0.0,-0.18714435459734213,0.0,0.0006710790033497283,0.0,0.01393463451284227,0.0,0.1731157406854289,0.0,0.742961906834381,0.0,-0.16079470913145077,0.0,4.355510768716542e-05,0.0,0.005105763370910265,0.0,0.010419801844797405,0.0,0.13160333258150306,0.0,-0.055528825458804,0.0,-0.00012952777589048114,0.0,0.005112880855916928,0.0,-0.030359221337729614,0.0,-0.3908280396590377,0.0,-0.06594041200194922,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ridge,ridge,1,91.0,0.0,0.0,0.0,66176.0,0.0,247.0,0.0,0.003499880581630102,0.0,0.04086592873169574,0.0,0.5018586798839458,0.0,-0.01903152377449023,0.0,-0.022231096345983557,0.0,0.11109026577058131,0.0,-3.176765411215639,0.0,0.003499880581630102,0.0,-2.8156370119991614e-05,0.0,0.015229810915333498,0.0,-0.006678906723218914,0.0,-0.02852138641168317,0.0,-0.198617439174406,0.0,0.0006710790033497283,0.0,0.01393463451284227,0.0,0.1731157406854289,0.0,0.742961906834381,0.0,-0.16079470913145077,0.0,-0.0005077834356856936,0.0,0.005887316299026557,0.0,-0.11386250263873743,0.0,-1.3306064953587113,0.0,-0.1407782787335703,0.0,-0.0006976804833309647,0.0,0.005888287811681846,0.0,-0.15304346850612938,0.0,-1.8279151118756352,0.0,-0.17886611900187843,0.0,1.0,0.0,0.0,0.0,0.0,0.0
random-forest,random_forest,1,216630.0,0.0,0.0,0.0,66176.0,0.0,247.0,0.0,0.003443354354319768,0.0,0.040408679085169166,0.0,0.4786629593810445,0.0,0.043360598500326454,0.0,0.012584803350157296,0.0,0.11560878943175222,0.0,1.7280481939216894,0.0,0.003443354354319768,0.0,0.0010651886027286395,0.0,0.016552180162285386,0.0,0.2883727173819608,0.0,0.992795465065372,0.0,-0.17734112266416613,0.0,0.0006710790033497283,0.0,0.01393463451284227,0.0,0.1731157406854289,0.0,0.742961906834381,0.0,-0.16079470913145077,0.0,0.0005780391646723615,0.0,0.006318987578138413,0.0,0.14744023077336,0.0,1.4112314347099553,0.0,-0.044113181409968116,0.0,0.0004137287690433311,0.0,0.006325324629086802,0.0,0.10345601153361206,0.0,1.0090701988877286,0.0,-0.04802974912455449,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hist-gbdt,hist_gbdt,1,18300.0,0.0,0.0,0.0,66176.0,0.0,247.0,0.0,0.0034884355665683975,0.0,0.04074613094157489,0.0,0.4859012330754352,0.0,0.040403331511815056,0.0,0.019245732083421254,0.0,0.10593955403085119,0.0,2.8838758870335326,0.0,0.0034884355665683975,0.0,0.0008762274889364541,0.0,0.015544834536672958,0.0,0.23176836316703997,0.0,0.8695994343384409,0.0,-0.15561692895949064,0.0,0.0006710790033497283,0.0,0.01393463451284227,0.0,0.1731157406854289,0.0,0.742961906834381,0.0,-0.16079470913145077,0.0,0.00039207861646395337,0.0,0.005640451583328898,0.0,0.09778709545184006,0.0,1.0723776643815306,0.0,-0.06569098935867124,0.0,0.00021294702615271,0.0,0.005636165547345296,0.0,0.05198199249039126,0.0,0.5828761926643862,0.0,-0.07351987993532105,0.0,1.0,0.0,0.0,0.0,0.0,0.0
